log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,rate,volume,area,time,length,count,weight,None type,material
9e76ad6b-8e1d-4135-8bde-b815a94588ac,2020-05-11T06:07:21+00:00,expt 2020/R/WW/2029 located in 2020/R/WW/2029,,2020/R/WW/2029,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
64c09799-39e9-4f76-9e8e-206517b6f427,2020-05-11T06:07:38+00:00,expt 2020/R/WW/2032 located in 2020/R/WW/2032,,2020/R/WW/2032,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
bdca5e68-9ec3-419e-b780-f23996aba2d0,2020-05-11T06:09:59+00:00,expt 2020/R/WW/2014 located in 2020/R/WW/2014,,2020/R/WW/2014,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
06e57464-993a-4a16-bf85-927f93ebec37,2020-05-11T06:10:46+00:00,expt 2020/R/RS/2003 located in 2020/R/RS/2003,,2020/R/RS/2003,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
7c9b90bf-f19e-4995-b68b-2dc551e2ea68,2020-05-11T06:11:51+00:00,expt 2020/R/WW/2019 located in 2020/R/WW/2019,,2020/R/WW/2019,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
af8bf5f9-644e-422d-ba52-58c1579ec6b2,2020-05-11T06:12:15+00:00,expt 2020/R/WW/2022 located in 2020/R/WW/2022,,2020/R/WW/2022,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
68c57deb-c0bd-4eeb-9e75-eb05261e2cbc,2020-05-11T06:13:41+00:00,expt 2020/R/RS/2009 located in 2020/R/RS/2009,,2020/R/RS/2009,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
9e8fe795-fbaf-4f99-aa9b-34a005c134fb,2020-05-11T06:14:26+00:00,expt 2020/R/CM/2053 located in 2020/R/CM/2053,,2020/R/CM/2053,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
86bb8bab-5e7c-4351-af7e-eb679f89d246,2020-05-11T06:15:02+00:00,expt 2020/R/CS/408 located in 2020/R/CS/408,,2020/R/CS/408,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
e264136d-a55a-444e-89f9-f20b60c57868,2020-05-11T06:15:19+00:00,expt 2020/R/CS/792 located in 2020/R/CS/792,,2020/R/CS/792,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
5167fc8e-5103-4e2e-8961-1a8b13b17e65,2020-05-11T06:16:05+00:00,expt 2020/R/CS/10 located in 2020/R/CS/10,,2020/R/CS/10,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
3dff1406-da92-4e11-a01e-4e4564d9f57e,2020-05-11T06:16:27+00:00,expt 2020/R/WS/2047 located in 2020/R/WS/2047,,2020/R/WS/2047,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
1f1e11a4-adda-4e0f-85f4-48b7289ffba6,2020-05-11T06:16:43+00:00,expt 2020/R/WS/2049 located in 2020/R/WS/2049,,2020/R/WS/2049,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
e738c07d-7744-462c-b3ad-0ea918090ff1,2020-05-11T06:17:00+00:00,expt 2020/R/WS/2055 located in 2020/R/WS/2055,,2020/R/WS/2055,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
05ff8bae-9b01-421d-9051-d14d9a5ad5b4,2020-05-11T06:23:23+00:00,expt 2020/R/CS/690 located in 2020/R/CS/690,,2020/R/CS/690,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
